loc_code,general_hh_apt_inc,foreign_hh_apt_inc,demolished_apt_inc,natural_demand,internal_invest_demand,avg_trade_price_y3,multi_homeowner_inc_y3,local_buyer_ratio_y3,internal_invest_demand_3yr_wgt_y3,internal_invest_demand_y1,internal_invest_demand_y2,external_invest_demand,absorbed_supply_y3,nonlocal_buyer_ratio_y3,external_invest_demand_3yr_wgt_y3,external_invest_demand_y1,external_invest_demand_y2,total_invest_demand,new_demand_volume,own_hh_apt_move_demand,py_bprice_y3,bprice_threshold_ratio,income_quintile,own_hh_ratio,own_move_plan_yn,rent_hh_apt_move_demand,rent_hh_ratio,rent_move_plan_yn,nonapt_move_demand,nonapt_hh_ratio,nonapt_move_plan_yn,nonapt_price_adj,total_move_demand,single_and_foreign_hh_inc,single_foreign_own_occ_ratio,multi_hh_and_demolished_hh_inc,multi_demolished_own_occ_ratio,hh_increase_demand,unsold_level_ratio,unsold_level_adj_ratio,total_invest_demand_eff,effective_demand,supply_volume_3y,effective_demand_to_supply,supply_demand_grade,base_date
11000,54243,160,4085,58488,95,4424,623,0.37,0.5,-244,430,3929,15233,0.63,0.5,2493,5167,4024,62512,9254,5131,0.55,0.34,0.74,0.05,1816,0.26,0.2,1769,0.67,0.4,0.6,12840,31550,0.3,26938,0.7,9629,0,1,4024,26493,22642,0.85,A,202605
11110,330,5,0,335,,3670,-58,0.29,0.5,,,,0,0.71,0.5,,,,,0,,0.55,0,0.74,0.05,0,0.26,0.2,0,1.88,0.4,0.6,0,243,0.3,92,0.7,0,0,1,,0,0,,C,202605
11140,1077,1,14,1092,2,3959,21,0.22,0.5,-6,9,43,358,0.78,0.5,0,0,45,1138,136,4258,0.55,0.33,0.74,0.05,30,0.26,0.2,22,0.56,0.4,0.6,189,608,0.3,485,0.7,172,0,1,45,406,135,0.33,S,202605
11170,372,-63,10,319,,6328,-415,0.29,0.5,,,,271,0.71,0.5,,,,,0,,0.55,0,0.74,0.05,0,0.26,0.2,0,0.94,0.4,0.6,0,313,0.3,6,0.7,0,0,1,,0,133,,C,202605
11200,764,0,34,798,-10,5572,-182,0.25,0.5,-8,-4,218,815,0.75,0.5,276,147,209,1007,599,7308,0.55,0.42,0.74,0.05,9,0.26,0.2,47,0.32,0.4,0.6,656,751,0.3,47,0.7,109,0,1,209,973,1280,1.32,B,202605
11215,974,7,133,1114,,4767,-96,0.35,0.5,,,,34,0.65,0.5,,,,,0,,0.55,0,0.74,0.05,0,0.26,0.2,0,1.72,0.4,0.6,0,612,0.3,502,0.7,0,0,1,,0,638,,C,202605
11230,2272,24,104,2401,14,3068,330,0.27,0.5,-6,18,406,744,0.73,0.5,996,34,421,2822,400,4353,0.55,0.3,0.74,0.05,12,0.26,0.2,53,0.53,0.4,0.6,464,1234,0.3,1167,0.7,356,0,1,421,1241,3728,3,C,202605
11260,1977,6,50,2033,5,2273,105,0.38,0.5,-4,7,66,473,0.62,0.5,0,108,71,2104,159,3706,0.55,0.21,0.74,0.05,11,0.26,0.2,40,0.98,0.4,0.6,210,1143,0.3,891,0.7,203,0,1,71,484,525,1.09,B,202605
11290,1744,7,24,1776,4,2767,-103,0.34,0.5,14,9,151,550,0.66,0.5,16,324,155,1931,445,4444,0.55,0.32,0.74,0.05,12,0.26,0.2,77,0.7,0.4,0.6,534,1097,0.3,679,0.7,257,0,1,155,947,1203,1.27,B,202605
11305,732,20,7,760,,2148,113,0.38,0.5,,,,18,0.62,0.5,,,,,0,,0.55,0,0.74,0.05,0,0.26,0.2,0,1.74,0.4,0.6,0,601,0.3,159,0.7,0,0,1,,0,97,,C,202605
11320,1349,9,58,1415,,2029,179,0.54,0.5,,,,-12,0.46,0.5,,,,,0,,0.55,0,0.74,0.05,0,0.26,0.2,0,0.65,0.4,0.6,0,1061,0.3,354,0.7,0,0,1,,0,100,,C,202605
11350,2812,21,0,2833,5,2467,-14,0.45,0.5,-5,21,81,0,0.55,0.5,0,244,86,2919,379,4070,0.55,0.27,0.74,0.05,18,0.26,0.2,14,0.15,0.4,0.6,411,2176,0.3,656,0.7,300,0,1,86,797,893,1.12,B,202605
11380,2100,1,114,2215,-7,2593,-323,0.42,0.5,-4,23,181,2431,0.58,0.5,95,46,174,2389,269,4557,0.55,0.27,0.74,0.05,11,0.26,0.2,91,1.35,0.4,0.6,371,1182,0.3,1034,0.7,291,0,1,174,836,1419,1.7,C,202605
11410,1597,22,25,1644,,3259,120,0.29,0.5,,,,-18,0.71,0.5,,,,,0,,0.55,0,0.74,0.05,0,0.26,0.2,0,0.8,0.4,0.6,0,861,0.3,783,0.7,0,0,1,,0,446,,C,202605
11440,2169,9,131,2309,4,4773,146,0.32,0.5,-11,-2,123,131,0.68,0.5,91,232,127,2436,648,4539,0.55,0.38,0.74,0.05,180,0.26,0.2,135,0.68,0.4,0.6,963,1224,0.3,1084,0.7,428,0,1,127,1518,693,0.46,S,202605
11470,1882,-4,31,1909,,4488,182,0.46,0.5,,,,128,0.54,0.5,,,,,0,,0.55,0,0.74,0.05,0,0.26,0.2,0,0.58,0.4,0.6,0,1224,0.3,685,0.7,0,0,1,,0,49,,C,202605
11500,3895,1,197,4094,6,3050,33,0.47,0.5,-26,38,52,248,0.53,0.5,14,99,58,4152,419,4466,0.55,0.26,0.74,0.05,13,0.26,0.2,73,0.7,0.4,0.6,505,2465,0.3,1628,0.7,489,0,1,58,1052,488,0.46,S,202605
11530,2500,5,49,2554,-2,2476,-18,0.38,0.5,-13,10,87,950,0.62,0.5,33,37,86,2640,318,3803,0.55,0.27,0.74,0.05,31,0.26,0.2,49,0.59,0.4,0.6,399,1441,0.3,1113,0.7,327,0,1,86,812,552,0.68,A,202605
11545,1742,-2,0,1740,-1,2129,5,0.51,0.5,-11,7,8,3,0.49,0.5,-1,25,7,1747,154,2937,0.55,0.3,0.74,0.05,64,0.26,0.2,60,1.16,0.4,0.6,278,948,0.3,791,0.7,252,0,1,7,537,73,0.14,S,202605
11560,3945,3,124,4072,5,4449,132,0.33,0.5,-14,10,132,705,0.67,0.5,77,101,137,4209,641,4832,0.55,0.38,0.74,0.05,43,0.26,0.2,67,0.41,0.4,0.6,751,1925,0.3,2147,0.7,791,0,1,137,1679,721,0.43,S,202605
11590,1783,-1,54,1837,-3,4145,-43,0.28,0.5,-12,6,164,1196,0.72,0.5,111,90,161,1998,511,6118,0.55,0.37,0.74,0.05,13,0.26,0.2,101,0.8,0.4,0.6,625,1134,0.3,703,0.7,308,0,1,161,1094,785,0.72,A,202605
11620,2452,9,187,2648,,2637,-9,0.39,0.5,,,,-4,0.61,0.5,,,,,0,,0.55,0,0.74,0.05,0,0.26,0.2,0,1.25,0.4,0.6,0,1493,0.3,1155,0.7,0,0,1,,0,739,,C,202605
11650,1128,2,1119,2249,18,7552,210,0.39,0.5,-37,51,862,3319,0.61,0.5,3,1571,880,3130,939,7584,0.55,0.53,0.74,0.05,298,0.26,0.2,120,0.4,0.4,0.6,1357,780,0.3,1469,0.7,669,0,1,880,2906,3687,1.27,B,202605
11680,3942,18,81,4041,41,8793,355,0.42,0.5,-21,63,215,334,0.58,0.5,4,536,256,4297,1439,8123,0.55,0.53,0.74,0.05,253,0.26,0.2,138,0.34,0.4,0.6,1830,1579,0.3,2462,0.7,1164,0,1,256,3250,891,0.27,S,202605
11710,3594,-2,70,3663,-11,6199,-248,0.41,0.5,-4,22,422,1909,0.59,0.5,164,528,411,4073,1318,6070,0.55,0.44,0.74,0.05,191,0.26,0.2,227,0.63,0.4,0.6,1736,2054,0.3,1609,0.7,767,0,1,411,2914,1951,0.67,A,202605
11740,5015,2,1469,6485,8,4351,201,0.37,0.5,-10,-21,312,650,0.63,0.5,176,463,320,6805,1059,3004,0.55,0.43,0.74,0.05,934,0.26,0.2,258,0.54,0.4,0.6,2250,1987,0.3,4498,0.7,1610,0,1,320,4180,1416,0.34,S,202605
26000,25194,190,849,26232,264,1287,3803,0.54,0.5,-75,426,1110,15852,0.46,0.5,1043,721,1375,27607,1315,3024,0.55,0.28,0.74,0.05,119,0.26,0.2,152,0.44,0.4,0.6,1586,14581,0.3,11652,0.7,3509,0.01,0.8,1100,6194,18035,2.91,C,202605
26110,209,2,0,212,,695,31,0.45,0.5,,,,0,0.55,0.5,,,,,0,,0.55,0,0.74,0.05,0,0.26,0.2,0,1.76,0.4,0.6,0,142,0.3,70,0.7,0,0,1,,0,0,,C,202605
26140,487,14,3,504,24,1196,106,0.51,0.5,4,55,26,-174,0.49,0.5,4,96,51,554,57,2495,0.55,0.33,0.74,0.05,10,0.26,0.2,17,1.03,0.4,0.6,84,289,0.3,215,0.7,78,0.01,0.8,41,203,434,2.14,C,202605
26170,562,2,0,564,15,1284,189,0.48,0.5,-1,16,71,372,0.52,0.5,1,151,85,649,111,2061,0.55,0.41,0.74,0.05,26,0.26,0.2,41,1.24,0.4,0.6,179,293,0.3,271,0.7,114,0.03,0.4,34,327,730,2.23,C,202605
26200,328,13,7,348,,752,63,0.59,0.5,,,,1,0.41,0.5,,,,,0,,0.55,0,0.74,0.05,0,0.26,0.2,0,0.65,0.4,0.6,0,345,0.3,3,0.7,0,0,1,,0,0,,C,202605
26230,4519,18,35,4571,37,1135,526,0.53,0.5,-4,61,93,2181,0.47,0.5,20,60,131,4702,143,2890,0.55,0.27,0.74,0.05,2,0.26,0.2,15,0.43,0.4,0.6,160,2229,0.3,2342,0.7,623,0.01,0.6,78,861,1655,1.92,C,202605
26260,2406,3,53,2462,22,1561,-76,0.48,0.5,31,47,246,3280,0.52,0.5,57,109,268,2729,484,2340,0.55,0.46,0.74,0.05,220,0.26,0.2,68,0.4,0.4,0.6,772,1122,0.3,1340,0.7,586,0.01,0.8,214,1572,1982,1.26,B,202605
26290,1282,44,207,1532,30,1432,413,0.52,0.5,-40,80,197,736,0.48,0.5,531,-21,226,1758,113,3197,0.55,0.28,0.74,0.05,5,0.26,0.2,18,0.62,0.4,0.6,136,981,0.3,551,0.7,190,0,1,226,552,4341,7.86,C,202605
26320,1842,-8,248,2082,12,1007,119,0.64,0.5,-11,29,9,381,0.36,0.5,-4,0,21,2103,208,2221,0.55,0.43,0.74,0.05,58,0.26,0.2,14,0.21,0.4,0.6,280,1209,0.3,873,0.7,419,0,1,21,720,143,0.2,S,202605
26350,1874,11,12,1897,1,1828,49,0.56,0.5,-20,16,88,2341,0.44,0.5,55,0,89,1986,122,4471,0.55,0.27,0.74,0.05,0,0.26,0.2,7,0.24,0.4,0.6,130,1351,0.3,546,0.7,213,0.01,0.8,71,413,1369,3.31,C,202605
26380,1596,16,0,1613,34,762,391,0.71,0.5,4,43,23,1095,0.29,0.5,3,1,58,1670,121,1853,0.55,0.5,0.74,0.05,57,0.26,0.2,17,0.4,0.4,0.6,195,1255,0.3,358,0.7,313,0.01,0.8,46,555,436,0.79,A,202605
26410,416,6,59,480,,1183,-75,0.58,0.5,,,,-19,0.42,0.5,,,,,0,,0.55,0,0.74,0.05,0,0.26,0.2,0,0.75,0.4,0.6,0,570,0.3,-90,0.7,0,0,1,,0,492,,C,202605
26440,2065,10,0,2075,9,1197,187,0.6,0.5,-7,-4,289,3738,0.4,0.5,283,54,299,2374,516,1681,0.55,0.74,0.74,0.05,219,0.26,0.2,45,0.25,0.4,0.6,780,766,0.3,1310,0.7,848,0.01,0.8,239,1867,3202,1.71,C,202605
26470,2225,2,44,2272,23,1494,510,0.42,0.5,-10,12,50,212,0.58,0.5,22,88,72,2344,358,2409,0.55,0.42,0.74,0.05,115,0.26,0.2,48,0.43,0.4,0.6,521,1018,0.3,1254,0.7,497,0,1,72,1090,481,0.44,S,202605
26500,1532,8,177,1718,13,2000,304,0.37,0.5,-3,23,84,1086,0.63,0.5,0,126,98,1815,29,5380,0.55,0.19,0.74,0.05,0,0.26,0.2,5,0.77,0.4,0.6,34,849,0.3,869,0.7,164,0.01,0.8,78,276,996,3.6,C,202605
26530,1428,23,4,1455,17,772,177,0.58,0.5,-14,43,33,235,0.42,0.5,0,77,50,1505,142,1731,0.55,0.49,0.74,0.05,40,0.26,0.2,13,0.31,0.4,0.6,195,1035,0.3,420,0.7,296,0.02,0.4,20,511,856,1.68,C,202605
26710,2342,12,0,2354,90,968,889,0.61,0.5,30,59,74,387,0.39,0.5,0,170,164,2518,513,1439,0.55,0.7,0.74,0.05,284,0.26,0.2,47,0.25,0.4,0.6,844,900,0.3,1454,0.7,901,0,1,164,1909,917,0.48,S,202605
27000,19017,95,427,19539,299,1073,4318,0.55,0.5,61,397,354,6286,0.45,0.5,182,357,653,20192,706,2895,0.55,0.33,0.74,0.05,30,0.26,0.2,57,0.32,0.4,0.6,793,10261,0.3,9278,0.7,3159,0.01,0.8,523,4474,3125,0.7,A,202605
27110,1748,2,10,1760,39,1467,653,0.28,0.5,13,36,69,445,0.72,0.5,47,42,107,1867,392,2023,0.55,0.58,0.74,0.05,36,0.26,0.2,35,0.34,0.4,0.6,464,567,0.3,1193,0.7,583,0.01,0.6,64,1111,173,0.16,S,202605
27140,3405,7,83,3495,58,976,922,0.57,0.5,5,53,49,919,0.43,0.5,26,35,107,3602,256,2238,0.55,0.45,0.74,0.05,0,0.26,0.2,25,0.4,0.4,0.6,280,1687,0.3,1808,0.7,797,0.01,0.8,86,1163,587,0.5,S,202605
27170,519,2,0,521,,1074,369,0.46,0.5,,,,106,0.54,0.5,,,,,0,,0.55,0,0.74,0.05,0,0.26,0.2,0,1.53,0.4,0.6,0,328,0.3,193,0.7,0,0.02,0.4,,0,80,,C,202605
27200,317,4,5,326,10,985,141,0.39,0.5,-1,17,139,594,0.61,0.5,50,277,149,474,102,1961,0.55,0.49,0.74,0.05,0,0.26,0.2,32,1.29,0.4,0.6,134,260,0.3,66,0.7,61,0.02,0.4,60,254,712,2.8,C,202605
27230,3401,15,173,3590,,863,375,0.61,0.5,,,,756,0.39,0.5,,,,,0,,0.55,0,0.74,0.05,0,0.26,0.2,0,0.22,0.4,0.6,0,2092,0.3,1498,0.7,0,0.01,0.8,,0,366,,C,202605
27260,2524,1,12,2538,41,1549,1285,0.53,0.5,-14,0,102,1636,0.47,0.5,81,69,142,2680,199,3906,0.55,0.34,0.74,0.05,11,0.26,0.2,13,0.25,0.4,0.6,223,1436,0.3,1102,0.7,409,0.01,0.8,114,745,705,0.95,A,202605
27290,2730,25,144,2899,60,951,437,0.59,0.5,49,78,60,1800,0.41,0.5,9,24,120,3019,312,2399,0.55,0.45,0.74,0.05,8,0.26,0.2,13,0.17,0.4,0.6,333,2064,0.3,835,0.7,542,0.01,0.8,96,971,491,0.51,A,202605
27710,2830,27,0,2857,,795,103,0.59,0.5,,,,30,0.41,0.5,,,,,0,,0.55,0,0.74,0.05,0,0.26,0.2,0,0.18,0.4,0.6,0,1310,0.3,1546,0.7,0,0,1,,0,11,,C,202605
27720,3,0,0,3,,803,33,0.75,0.5,,,,0,0.25,0.5,,,,,0,,0.55,0,0.74,0.05,0,0.26,0.2,0,16.18,0.4,0.6,0,0,0.3,3,0.7,0,0,1,,0,0,,C,202605
28000,29378,392,671,30441,418,1355,2262,0.57,0.5,128,662,2106,20376,0.43,0.5,858,2307,2524,32965,6649,1891,0.55,0.58,0.74,0.05,3116,0.26,0.2,1176,0.5,0.4,0.6,10941,13148,0.3,17293,0.7,9309,0,1,2524,22774,19672,0.86,A,202605
28110,3109,28,0,3137,20,1108,8,0.51,0.5,17,42,199,2423,0.49,0.5,57,167,220,3356,393,1772,0.55,0.62,0.74,0.05,22,0.26,0.2,46,0.46,0.4,0.6,461,1108,0.3,2029,0.7,1087,0,1,220,1767,1363,0.77,A,202605
28140,273,6,0,279,,931,-69,0.42,0.5,,,,-41,0.58,0.5,,,,,0,,0.55,0,0.74,0.05,0,0.26,0.2,0,0.56,0.4,0.6,0,214,0.3,65,0.7,0,0,1,,0,126,,C,202605
28185,5076,105,32,5213,44,1758,576,0.55,0.5,-15,40,283,1205,0.45,0.5,38,624,327,5540,1163,2544,0.55,0.56,0.74,0.05,295,0.26,0.2,32,0.09,0.4,0.6,1490,1676,0.3,3537,0.7,1668,0,1,327,3485,2499,0.72,A,202605
28200,2732,34,78,2845,,1191,-128,0.59,0.5,,,,8,0.41,0.5,,,,,0,,0.55,0,0.74,0.05,0,0.26,0.2,0,0.44,0.4,0.6,0,2103,0.3,742,0.7,0,0,1,,0,0,,C,202605
28237,3551,76,66,3693,62,1372,645,0.55,0.5,2,81,195,4157,0.45,0.5,6,36,256,3949,500,2379,0.55,0.42,0.74,0.05,22,0.26,0.2,62,0.49,0.4,0.6,583,1911,0.3,1781,0.7,765,0,1,256,1604,1558,0.97,A,202605
28245,1785,19,95,1898,27,1098,200,0.57,0.5,8,36,208,1594,0.43,0.5,74,334,235,2133,440,1739,0.55,0.57,0.74,0.05,254,0.26,0.2,87,0.52,0.4,0.6,782,1161,0.3,737,0.7,493,0,1,235,1509,2350,1.56,C,202605
28260,10134,55,217,10406,170,1418,-42,0.58,0.5,119,402,752,4489,0.42,0.5,637,865,922,11328,2095,1764,0.55,0.65,0.74,0.05,1419,0.26,0.2,359,0.43,0.4,0.6,3873,3350,0.3,7056,0.7,3864,0,1,922,8659,7416,0.86,A,202605
28177,2930,74,183,3187,70,1129,821,0.61,0.5,24,32,352,5195,0.39,0.5,117,321,421,3608,576,1862,0.55,0.52,0.74,0.05,221,0.26,0.2,182,0.95,0.4,0.6,980,1473,0.3,1714,0.7,854,0,1,421,2255,3874,1.72,C,202605
28710,66,1,0,66,28,730,162,0.67,0.5,16,38,44,1346,0.33,0.5,0,5,72,138,10,1273,0.55,0.68,0.74,0.05,0,0.26,0.2,25,10.57,0.4,0.6,35,27,0.3,39,0.7,24,0,1,72,131,485,3.7,C,202605
28720,22,0,0,22,,0,89,0,0.5,,,,0,1,0.5,,,,,0,,0.55,0,0.74,0.05,0,0.26,0.2,0,12.88,0.4,0.6,0,11,0.3,11,0.7,0,0,1,,0,0,,C,202605
29000,12266,102,674,13042,83,952,823,0.58,0.5,11,112,449,1848,0.42,0.5,384,756,532,13574,2293,1807,0.55,0.6,0.74,0.05,843,0.26,0.2,165,0.22,0.4,0.6,3302,6809,0.3,6233,0.7,3843,0,1,532,7677,7953,1.04,B,202605
29110,1363,2,0,1365,16,1059,117,0.42,0.5,0,31,50,431,0.58,0.5,69,1,66,1431,315,1624,0.55,0.67,0.74,0.05,188,0.26,0.2,58,0.48,0.4,0.6,561,573,0.3,792,0.7,487,0,1,66,1113,369,0.33,S,202605
29140,1812,11,0,1823,6,1000,-30,0.54,0.5,3,18,108,0,0.46,0.5,128,195,114,1937,257,2167,0.55,0.52,0.74,0.05,41,0.26,0.2,13,0.19,0.4,0.6,311,1257,0.3,566,0.7,402,0,1,114,827,2038,2.47,C,202605
29155,1303,7,236,1547,8,1031,51,0.53,0.5,-1,17,90,1032,0.47,0.5,42,108,98,1644,203,2091,0.55,0.52,0.74,0.05,35,0.26,0.2,16,0.28,0.4,0.6,253,773,0.3,773,0.7,402,0,1,98,753,1310,1.74,C,202605
