loc_code,general_hh_apt_inc,foreign_hh_apt_inc,demolished_apt_inc,natural_demand,internal_invest_demand,avg_trade_price_y3,multi_homeowner_inc_y3,local_buyer_ratio_y3,internal_invest_demand_3yr_wgt_y3,internal_invest_demand_y1,internal_invest_demand_y2,external_invest_demand,absorbed_supply_y3,nonlocal_buyer_ratio_y3,external_invest_demand_3yr_wgt_y3,external_invest_demand_y1,external_invest_demand_y2,total_invest_demand,new_demand_volume,own_hh_apt_move_demand,py_bprice_y3,bprice_threshold_ratio,income_quintile,own_hh_ratio,own_move_plan_yn,rent_hh_apt_move_demand,rent_hh_ratio,rent_move_plan_yn,nonapt_move_demand,nonapt_hh_ratio,nonapt_move_plan_yn,nonapt_price_adj,total_move_demand,single_and_foreign_hh_inc,single_foreign_own_occ_ratio,multi_hh_and_demolished_hh_inc,multi_demolished_own_occ_ratio,hh_increase_demand,unsold_level_ratio,unsold_level_adj_ratio,total_invest_demand_eff,effective_demand,supply_volume_3y,effective_demand_to_supply,supply_demand_grade,base_date
11000,22853,160,4085,27098,91,4272,623,0.37,0.5,-235,413,3753,14891,0.63,0.5,2408,4959,3844,30942,8907,5131,0.55,0.34,0.74,0.05,1837,0.26,0.2,1717,0.67,0.4,0.6,12461,31550,0.3,-4452,0.7,2158,0.0,1.0,3844,18463,22528,1.22,B,202602
11110,92,5,0,97,,3579,-58,0.29,0.5,,,,0,0.71,0.5,,,,,0,,0.55,0.0,0.74,0.05,0,0.26,0.2,0,1.88,0.4,0.6,0,243,0.3,-146,0.7,0,0.0,1.0,,0,0,,C,202602
11140,471,1,14,486,2,3780,21,0.22,0.5,-5,8,42,358,0.78,0.5,0,0,43,529,136,4258,0.55,0.33,0.74,0.05,30,0.26,0.2,23,0.56,0.4,0.6,189,608,0.3,-121,0.7,32,0.0,1.0,43,265,135,0.51,A,202602
11170,-4,-63,10,-57,,6096,-415,0.29,0.5,,,,2,0.71,0.5,,,,,0,,0.55,0.0,0.74,0.05,0,0.26,0.2,0,0.94,0.4,0.6,0,313,0.3,-370,0.7,0,0.0,1.0,,0,44,,C,202602
11200,13,0,34,47,-9,5252,-182,0.25,0.5,-8,-4,208,815,0.75,0.5,264,139,198,245,472,7308,0.55,0.41,0.74,0.05,9,0.26,0.2,38,0.32,0.4,0.6,518,751,0.3,-704,0.7,-110,0.0,1.0,198,607,1280,2.11,C,202602
11215,370,7,133,510,,4530,-96,0.35,0.5,,,,34,0.65,0.5,,,,,0,,0.55,0.0,0.74,0.05,0,0.26,0.2,0,1.72,0.4,0.6,0,612,0.3,-102,0.7,0,0.0,1.0,,0,638,,C,202602
11230,1063,24,104,1191,14,2945,330,0.27,0.5,-6,17,395,744,0.73,0.5,968,33,409,1600,361,4353,0.55,0.29,0.74,0.05,11,0.26,0.2,48,0.53,0.4,0.6,420,1234,0.3,-43,0.7,99,0.0,1.0,409,927,3728,4.02,C,202602
11260,840,6,50,897,5,2243,105,0.38,0.5,-4,6,65,473,0.62,0.5,0,106,70,967,168,3706,0.55,0.21,0.74,0.05,4,0.26,0.2,41,0.98,0.4,0.6,213,1143,0.3,-245,0.7,36,0.0,1.0,70,319,525,1.64,C,202602
11290,655,7,24,686,4,2672,-103,0.34,0.5,14,9,148,550,0.66,0.5,16,319,152,838,417,4444,0.55,0.32,0.74,0.05,5,0.26,0.2,71,0.7,0.4,0.6,493,1097,0.3,-411,0.7,13,0.0,1.0,152,659,1203,1.83,C,202602
11305,152,20,7,179,,2118,113,0.38,0.5,,,,18,0.62,0.5,,,,,0,,0.55,0.0,0.74,0.05,0,0.26,0.2,0,1.74,0.4,0.6,0,601,0.3,-421,0.7,0,0.0,1.0,,0,97,,C,202602
11320,296,9,58,362,,2009,179,0.54,0.5,,,,-12,0.46,0.5,,,,,0,,0.55,0.0,0.74,0.05,0,0.26,0.2,0,0.65,0.4,0.6,0,1061,0.3,-699,0.7,0,0.0,1.0,,0,100,,C,202602
11350,656,21,0,677,5,2411,-14,0.45,0.5,-5,21,81,0,0.55,0.5,0,244,86,763,383,4070,0.55,0.27,0.74,0.05,18,0.26,0.2,15,0.15,0.4,0.6,415,2176,0.3,-1499,0.7,-107,0.0,1.0,86,394,893,2.26,C,202602
11380,920,1,114,1035,-7,2541,-323,0.42,0.5,-4,22,178,2431,0.58,0.5,93,45,171,1205,266,4557,0.55,0.27,0.74,0.05,2,0.26,0.2,87,1.35,0.4,0.6,355,1182,0.3,-147,0.7,68,0.0,1.0,171,594,1419,2.39,C,202602
11410,758,22,25,805,,3139,120,0.29,0.5,,,,-18,0.71,0.5,,,,,0,,0.55,0.0,0.74,0.05,0,0.26,0.2,0,0.8,0.4,0.6,0,861,0.3,-56,0.7,0,0.0,1.0,,0,446,,C,202602
11440,953,9,131,1093,4,4561,146,0.32,0.5,-11,-2,118,131,0.68,0.5,88,222,122,1215,658,4539,0.55,0.38,0.74,0.05,155,0.26,0.2,132,0.68,0.4,0.6,945,1224,0.3,-131,0.7,105,0.0,1.0,122,1172,693,0.59,A,202602
11470,654,-4,31,681,,4311,182,0.46,0.5,,,,128,0.54,0.5,,,,,0,,0.55,0.0,0.74,0.05,0,0.26,0.2,0,0.58,0.4,0.6,0,1224,0.3,-543,0.7,0,0.0,1.0,,0,49,,C,202602
11500,1431,1,197,1630,6,2954,33,0.47,0.5,-25,37,47,175,0.53,0.5,14,97,53,1683,420,4466,0.55,0.26,0.74,0.05,7,0.26,0.2,72,0.7,0.4,0.6,498,2465,0.3,-835,0.7,40,0.0,1.0,53,591,463,0.78,A,202602
11530,1064,5,49,1118,-2,2412,-18,0.38,0.5,-12,9,85,950,0.62,0.5,33,37,83,1202,324,3803,0.55,0.27,0.74,0.05,19,0.26,0.2,48,0.59,0.4,0.6,391,1441,0.3,-323,0.7,56,0.0,1.0,83,531,552,1.04,B,202602
11545,791,-2,0,789,-1,2115,5,0.51,0.5,-11,7,8,3,0.49,0.5,-1,25,7,796,168,2937,0.55,0.31,0.74,0.05,58,0.26,0.2,63,1.16,0.4,0.6,290,948,0.3,-160,0.7,54,0.0,1.0,7,350,73,0.21,S,202602
11560,2023,3,124,2150,5,4263,132,0.33,0.5,-14,10,127,705,0.67,0.5,75,97,132,2282,606,4832,0.55,0.38,0.74,0.05,38,0.26,0.2,63,0.41,0.4,0.6,707,1925,0.3,225,0.7,279,0.0,1.0,132,1118,721,0.65,A,202602
11590,648,-1,54,702,-3,3942,-43,0.28,0.5,-12,5,156,1196,0.72,0.5,107,86,153,854,444,6118,0.55,0.37,0.74,0.05,13,0.26,0.2,88,0.8,0.4,0.6,545,1134,0.3,-433,0.7,14,0.0,1.0,153,712,785,1.1,B,202602
11620,968,9,187,1163,,2543,-9,0.39,0.5,,,,-4,0.61,0.5,,,,,0,,0.55,0.0,0.74,0.05,0,0.26,0.2,0,1.25,0.4,0.6,0,1493,0.3,-330,0.7,0,0.0,1.0,,0,739,,C,202602
11650,351,2,1119,1472,18,7366,210,0.39,0.5,-36,49,837,3319,0.61,0.5,3,1527,855,2326,1030,7584,0.55,0.53,0.74,0.05,324,0.26,0.2,131,0.4,0.4,0.6,1486,780,0.3,691,0.7,381,0.0,1.0,855,2722,3687,1.35,B,202602
11680,2381,18,81,2480,39,8490,355,0.42,0.5,-20,59,204,334,0.58,0.5,4,507,244,2723,1406,8123,0.55,0.53,0.74,0.05,282,0.26,0.2,137,0.34,0.4,0.6,1826,1579,0.3,901,0.7,585,0.0,1.0,244,2655,891,0.34,S,202602
