loc_code,general_hh_apt_inc,foreign_hh_apt_inc,demolished_apt_inc,natural_demand,internal_invest_demand,avg_trade_price_y3,multi_homeowner_inc_y3,local_buyer_ratio_y3,internal_invest_demand_3yr_wgt_y3,internal_invest_demand_y1,internal_invest_demand_y2,external_invest_demand,absorbed_supply_y3,nonlocal_buyer_ratio_y3,external_invest_demand_3yr_wgt_y3,external_invest_demand_y1,external_invest_demand_y2,total_invest_demand,new_demand_volume,own_hh_apt_move_demand,py_bprice_y3,bprice_threshold_ratio,income_quintile,own_hh_ratio,own_move_plan_yn,rent_hh_apt_move_demand,rent_hh_ratio,rent_move_plan_yn,nonapt_move_demand,nonapt_hh_ratio,nonapt_move_plan_yn,nonapt_price_adj,total_move_demand,single_and_foreign_hh_inc,single_foreign_own_occ_ratio,multi_hh_and_demolished_hh_inc,multi_demolished_own_occ_ratio,hh_increase_demand,unsold_level_ratio,unsold_level_adj_ratio,total_invest_demand_eff,effective_demand,supply_volume_3y,effective_demand_to_supply,supply_demand_grade,base_date
41173,1829,-3,882,2708,36,2832,249,0.43,0.5,29,44,234,0,0.57,0.5,214,489,271,2978,584,4214,0.55,0.37,0.74,0.05,55,0.26,0.2,25,0.16,0.4,0.6,663,1273,0.3,1435,0.7,513,0.0,1.0,271,1447,2364,1.63,C,202607
41190,998,116,60,1174,40,1752,584,0.55,0.5,-50,39,393,4089,0.45,0.5,172,253,433,1607,1508,2146,0.55,0.5,0.74,0.05,999,0.26,0.2,420,0.7,0.4,0.6,2927,2312,0.3,-1138,0.7,-52,0.0,1.0,433,3309,3124,0.94,A,202607
41210,-1078,-38,641,-475,-18,2842,-498,0.38,0.5,10,-3,999,6716,0.62,0.5,1048,574,980,506,357,4308,0.55,0.32,0.74,0.05,16,0.26,0.2,27,0.3,0.4,0.6,400,92,0.3,-566,0.7,-118,0.0,1.0,980,1262,7305,5.79,C,202607
41220,7412,102,275,7790,67,1020,427,0.64,0.5,1,111,714,6338,0.36,0.5,687,715,781,8571,1686,1566,0.55,0.69,0.74,0.05,515,0.26,0.2,228,0.43,0.4,0.6,2428,4345,0.3,3444,0.7,2563,0.01,0.6,469,5460,10953,2.01,C,202607
41250,151,8,60,218,,605,109,0.55,0.5,,,,0,0.45,0.5,,,,,0,,0.55,0.0,0.74,0.05,0,0.26,0.2,0,0.73,0.4,0.6,0,377,0.3,-158,0.7,0,0.0,1.0,,0,0,,C,202607
41271,412,30,102,544,,1362,81,0.58,0.5,,,,0,0.42,0.5,,,,,0,,0.55,0.0,0.74,0.05,0,0.26,0.2,0,1.34,0.4,0.6,0,649,0.3,-105,0.7,0,0.0,1.0,,0,44,,C,202607
41273,885,53,0,938,,1657,447,0.61,0.5,,,,0,0.39,0.5,,,,,0,,0.55,0.0,0.74,0.05,0,0.26,0.2,0,0.56,0.4,0.6,0,1050,0.3,-112,0.7,0,0.0,1.0,,0,508,,C,202607
41281,3967,10,22,3998,10,1728,-333,0.52,0.5,-4,99,271,4393,0.48,0.5,0,23,281,4280,1100,2295,0.55,0.52,0.74,0.05,728,0.26,0.2,138,0.31,0.4,0.6,1966,2776,0.3,1222,0.7,878,0.0,1.0,281,3125,1537,0.49,S,202607
41285,1029,3,0,1032,10,1566,50,0.5,0.5,8,14,340,1327,0.5,0.5,347,439,351,1383,547,2191,0.55,0.63,0.74,0.05,352,0.26,0.2,70,0.32,0.4,0.6,969,889,0.3,143,0.7,231,0.0,1.0,351,1551,3418,2.2,C,202607
41287,552,10,0,563,,1310,-164,0.51,0.5,,,,0,0.49,0.5,,,,,0,,0.55,0.0,0.74,0.05,0,0.26,0.2,0,0.13,0.4,0.6,0,949,0.3,-386,0.7,0,0.0,1.0,,0,133,,C,202607
41290,1243,0,222,1465,19,6756,83,0.41,0.5,37,2,402,2412,0.59,0.5,9,393,421,1886,283,5992,0.55,0.52,0.74,0.05,91,0.26,0.2,24,0.26,0.4,0.6,398,188,0.3,1276,0.7,494,0.0,1.0,421,1313,1550,1.18,B,202607
41310,383,2,4,388,8,2351,22,0.57,0.5,-3,22,185,2526,0.43,0.5,84,26,193,581,561,2868,0.55,0.42,0.74,0.05,196,0.26,0.2,47,0.26,0.4,0.6,805,693,0.3,-305,0.7,-2,0.0,1.0,193,995,1323,1.33,B,202607
41360,5135,28,371,5534,27,1476,288,0.57,0.5,-6,28,327,5190,0.43,0.5,79,87,354,5888,1786,2029,0.55,0.57,0.74,0.05,1203,0.26,0.2,200,0.28,0.4,0.6,3188,3313,0.3,2221,0.7,1453,0.0,1.0,354,4995,2680,0.54,A,202607
41370,2265,64,0,2329,40,1146,569,0.52,0.5,-16,18,472,3546,0.48,0.5,188,555,512,2841,1036,1451,0.55,0.75,0.74,0.05,707,0.26,0.2,94,0.22,0.4,0.6,1836,1676,0.3,653,0.7,720,0.0,1.0,512,3068,3836,1.25,B,202607
41390,4879,190,37,5107,30,1371,64,0.77,0.5,-29,101,133,1776,0.23,0.5,209,35,163,5270,1633,1804,0.55,0.63,0.74,0.05,936,0.26,0.2,146,0.24,0.4,0.6,2715,2892,0.3,2215,0.7,1523,0.0,1.0,163,4401,1923,0.44,S,202607
41410,662,-3,0,658,0,1687,-20,0.57,0.5,-5,8,155,1505,0.43,0.5,6,175,155,813,988,1914,0.55,0.62,0.74,0.05,623,0.26,0.2,88,0.23,0.4,0.6,1699,1207,0.3,-549,0.7,-14,0.0,1.0,155,1840,1099,0.6,A,202607
41430,313,-4,14,323,15,2230,-33,0.35,0.5,42,7,497,3132,0.65,0.5,300,335,511,834,456,2665,0.55,0.49,0.74,0.05,252,0.26,0.2,38,0.22,0.4,0.6,747,297,0.3,26,0.7,53,0.0,1.0,511,1311,2703,2.06,C,202607
41450,3943,6,18,3968,66,3248,280,0.5,0.5,50,46,181,1114,0.5,0.5,126,10,247,4214,1425,2226,0.55,0.61,0.74,0.05,1720,0.26,0.2,84,0.11,0.4,0.6,3228,1756,0.3,2211,0.7,1266,0.0,1.0,247,4740,675,0.14,S,202607
41461,1440,20,0,1460,42,1257,468,0.55,0.5,-30,70,528,8004,0.45,0.5,22,355,570,2030,446,1884,0.55,0.58,0.74,0.05,124,0.26,0.2,157,1.15,0.4,0.6,726,911,0.3,549,0.7,381,0.0,1.0,570,1677,4263,2.54,C,202607
41463,2126,13,0,2138,,1631,477,0.44,0.5,,,,0,0.56,0.5,,,,,0,,0.55,0.0,0.74,0.05,0,0.26,0.2,0,0.15,0.4,0.6,0,1747,0.3,392,0.7,0,0.0,1.0,,0,547,,C,202607
41465,1648,16,0,1664,-12,2341,-292,0.38,0.5,-2,-6,26,480,0.62,0.5,3,0,14,1678,828,4576,0.55,0.5,0.74,0.05,45,0.26,0.2,16,0.08,0.4,0.6,889,933,0.3,732,0.7,396,0.0,1.0,14,1299,176,0.14,S,202607
41480,4611,35,0,4647,57,1107,297,0.65,0.5,18,97,337,4857,0.35,0.5,224,292,393,5040,809,1904,0.55,0.6,0.74,0.05,316,0.26,0.2,105,0.39,0.4,0.6,1231,2230,0.3,2417,0.7,1416,0.0,1.0,393,3041,4129,1.36,B,202607
41500,1056,22,0,1077,15,831,64,0.66,0.5,3,31,173,3711,0.34,0.5,75,141,188,1265,187,1744,0.55,0.64,0.74,0.05,79,0.26,0.2,58,0.91,0.4,0.6,324,825,0.3,252,0.7,271,0.02,0.4,75,671,3689,5.5,C,202607
41550,1275,99,0,1374,35,759,413,0.6,0.5,-6,38,120,949,0.4,0.5,198,51,155,1529,456,1294,0.55,0.75,0.74,0.05,88,0.26,0.2,77,0.59,0.4,0.6,621,1018,0.3,356,0.7,416,0.01,0.8,124,1161,1568,1.35,B,202607
41570,5025,56,180,5261,-10,1325,-60,0.51,0.5,-40,18,448,6398,0.49,0.5,67,304,437,5698,1391,2131,0.55,0.6,0.74,0.05,456,0.26,0.2,88,0.2,0.4,0.6,1936,2797,0.3,2463,0.7,1538,0.01,0.8,350,3824,4545,1.19,B,202607
