loc_code,general_hh_apt_inc,foreign_hh_apt_inc,demolished_apt_inc,natural_demand,internal_invest_demand,avg_trade_price_y3,multi_homeowner_inc_y3,local_buyer_ratio_y3,internal_invest_demand_3yr_wgt_y3,internal_invest_demand_y1,internal_invest_demand_y2,external_invest_demand,absorbed_supply_y3,nonlocal_buyer_ratio_y3,external_invest_demand_3yr_wgt_y3,external_invest_demand_y1,external_invest_demand_y2,total_invest_demand,new_demand_volume,own_hh_apt_move_demand,py_bprice_y3,bprice_threshold_ratio,income_quintile,own_hh_ratio,own_move_plan_yn,rent_hh_apt_move_demand,rent_hh_ratio,rent_move_plan_yn,nonapt_move_demand,nonapt_hh_ratio,nonapt_move_plan_yn,nonapt_price_adj,total_move_demand,single_and_foreign_hh_inc,single_foreign_own_occ_ratio,multi_hh_and_demolished_hh_inc,multi_demolished_own_occ_ratio,hh_increase_demand,unsold_level_ratio,unsold_level_adj_ratio,total_invest_demand_eff,effective_demand,supply_volume_3y,effective_demand_to_supply,supply_demand_grade,base_date
46170,571,24,0,595,,741,356,0.62,0.5,,,,17,0.37,0.5,,,,,0,0,0.55,0,0.74,0.05,0,0.26,0.2,0,0.9,0.4,0.6,0,436,0.3,571,0.7,0,0,1,,,0,,,202402
46710,33,0,0,33,11,714,211,0.69,0.5,0,0,2,10,0.3,0.5,0,7,14,48,14,1461,0.55,0.62,0.74,0.05,0,0.26,0.2,26,7.78,0.4,0.6,40,34,0.3,33,0.7,21,0,0.8,11,73,74,1.01,B,202402
46110,487,22,0,509,15,539,231,0.66,0.5,17,-6,0,-4,0.33,0.5,0,0,15,525,326,1197,0.55,0.91,0.74,0.05,171,0.26,0.2,43,0.36,0.4,0.6,541,1056,0.3,487,0.7,601,0,1,15,1158,23,0.02,S,202402
46840,501,5,0,507,,788,266,0.49,0.5,22,-12,,0,0.5,0.5,262,0,,,0,0,0.55,0,0.74,0.05,0,0.26,0.2,0,1.3,0.4,0.6,0,292,0.3,501,0.7,0,0,1,,,264,,,202402
46780,0,0,0,1,0,499,160,0.69,0.5,0,0,,0,0.3,0.5,,,,,0,0,0.55,0,0.74,0.05,0,0.26,0.2,0,6.75,0.4,0.6,0,18,0.3,0,0.7,0,0,1,,,0,,,202402
46150,1481,17,0,1498,61,739,945,0.73,0.5,0,1,38,53,0.26,0.5,110,2,100,1598,494,1408,0.55,0.73,0.74,0.05,350,0.26,0.2,94,0.46,0.4,0.6,939,1246,0.3,1481,0.7,1035,0,1,100,2074,1159,0.55,A,202402
46910,0,0,0,0,0,0,219,1,0.5,0,0,,0,0,0.5,,,,,0,0,0.55,0,0.74,0.05,0,0.26,0.2,0,593.19,0.4,0.6,0,0,0.3,0,0.7,0,0,1,,,0,,,202402
46130,819,25,106,950,79,752,724,0.84,0.5,5,79,16,1269,0.15,0.5,9,-7,96,1047,434,1505,0.55,0.69,0.74,0.05,239,0.26,0.2,95,0.59,0.4,0.6,769,929,0.3,925,0.7,643,0,0.8,77,1489,516,0.34,S,202402
46870,52,1,0,54,,558,199,0.73,0.5,0,,,0,0.26,0.5,,,,,0,0,0.55,0,0.74,0.05,0,0.26,0.2,0,2.82,0.4,0.6,0,60,0.3,52,0.7,0,0,1,,,0,,,202402
46830,135,88,0,224,0,326,101,0.38,0.5,0,0,,-98,0.61,0.5,,,,,0,0,0.55,0,0.74,0.05,0,0.26,0.2,0,1.56,0.4,0.6,0,224,0.3,135,0.7,0,0.03,0.4,,,0,,,202402
46890,4,1,0,5,0,687,190,0.84,0.5,0,0,,0,0.15,0.5,,,,,0,0,0.55,0,0.74,0.05,0,0.26,0.2,0,8.36,0.4,0.6,0,21,0.3,4,0.7,0,0,1,,,0,,,202402
46880,39,0,0,40,7,429,152,0.69,0.5,0,5,42,177,0.3,0.5,0,120,50,90,3,1458,0.55,0.58,0.74,0.05,0,0.26,0.2,2,3.38,0.4,0.6,6,54,0.3,39,0.7,25,0.01,0.6,30,62,1181,19.05,C,202402
46800,2,0,0,3,16,538,195,0.65,0.5,0,13,2,18,0.34,0.5,4,1,19,22,11,967,0.55,0.88,0.74,0.05,7,0.26,0.2,27,5.97,0.4,0.6,46,21,0.3,2,0.7,7,0.02,0.4,7,61,15,0.24,S,202402
