loc_code,general_hh_apt_inc,foreign_hh_apt_inc,demolished_apt_inc,natural_demand,internal_invest_demand,avg_trade_price_y3,multi_homeowner_inc_y3,local_buyer_ratio_y3,internal_invest_demand_3yr_wgt_y3,internal_invest_demand_y1,internal_invest_demand_y2,external_invest_demand,absorbed_supply_y3,nonlocal_buyer_ratio_y3,external_invest_demand_3yr_wgt_y3,external_invest_demand_y1,external_invest_demand_y2,total_invest_demand,new_demand_volume,own_hh_apt_move_demand,py_bprice_y3,bprice_threshold_ratio,income_quintile,own_hh_ratio,own_move_plan_yn,rent_hh_apt_move_demand,rent_hh_ratio,rent_move_plan_yn,nonapt_move_demand,nonapt_hh_ratio,nonapt_move_plan_yn,nonapt_price_adj,total_move_demand,single_and_foreign_hh_inc,single_foreign_own_occ_ratio,multi_hh_and_demolished_hh_inc,multi_demolished_own_occ_ratio,hh_increase_demand,unsold_level_ratio,unsold_level_adj_ratio,total_invest_demand_eff,effective_demand,supply_volume_3y,effective_demand_to_supply,supply_demand_grade,base_date
11000,22853.12,159.8,4084.6,27097.52,91.08,4272.468439435,623.0,0.37,0.5,-235.36,412.95,3753.21,14891.0,0.63,0.5,2407.81,4958.58,3844.29,30941.81,8906.58,5131.04,0.55,0.34,0.74,0.05,1837.2,0.26,0.2,1753.38,0.68,0.4,0.6,12497.16,31549.88,0.3,-4452.35,0.7,2158.4307,0.0003287142965163,1.0,3844.29,18499.88,22528.33,1.22,B,202602
11110,92.03,5.37,0.0,97.4,,3578.5343605625,-58.0,0.29,0.5,,,,0.0,0.71,0.5,,,,,0.0,,0.55,0.0,0.74,0.05,0.0,0.26,0.2,0.0,1.88,0.4,0.6,0.0,243.05,0.3,-145.65,0.7,0.0,0.0,1.0,,0.0,0.0,,C,202602
11140,471.06,1.32,13.8,486.18,1.69,3780.2901918025,21.0,0.22,0.5,-5.43,8.45,41.51,358.0,0.78,0.5,-0.12,0.39,43.2,529.38,136.4,4257.91,0.55,0.33,0.74,0.05,30.32,0.26,0.2,22.41,0.56,0.4,0.6,189.13,607.64,0.3,-121.46,0.7,32.10274,0.0012349896208319,1.0,43.2,264.43,134.67,0.51,A,202602
11170,-3.71,-62.62,9.6,-56.73,,6096.214078415,-415.0,0.29,0.5,,,,2.0,0.71,0.5,,,,,0.0,,0.55,0.0,0.74,0.05,0.0,0.26,0.2,0.0,0.94,0.4,0.6,0.0,312.97,0.3,-369.7,0.7,0.0,1.55814207139e-05,1.0,,0.0,43.67,,C,202602
11200,13.39,-0.31,34.0,47.08,-9.31,5251.9890150875,-182.0,0.25,0.5,-7.93,-3.61,207.61,815.0,0.75,0.5,264.03,138.76,198.3,245.38,471.79,7307.75,0.55,0.41,0.74,0.05,9.0,0.26,0.2,38.08,0.33,0.4,0.6,518.87,750.72,0.3,-703.64,0.7,-109.60468,0.0,1.0,198.3,607.57,1279.67,2.11,C,202602
11215,369.86,7.45,132.6,509.91,,4530.3093022,-96.0,0.35,0.5,,,,34.0,0.65,0.5,,,,,0.0,,0.55,0.0,0.74,0.05,0.0,0.26,0.2,0.0,1.72,0.4,0.6,0.0,611.73,0.3,-101.82,0.7,0.0,0.0006541456480444,1.0,,0.0,638.33,,C,202602
11230,1062.53,24.45,104.2,1191.18,13.7,2945.464752445,330.0,0.27,0.5,-6.28,17.1,395.25,744.0,0.73,0.5,968.43,32.66,408.95,1600.13,361.16,4353.03,0.55,0.29,0.74,0.05,10.96,0.26,0.2,47.33,0.53,0.4,0.6,419.45,1234.25,0.3,-43.05999999999999,0.7,98.63882,0.0006541204224974,1.0,408.95,927.04,3728.0,4.02,C,202602
11260,840.43,6.37,50.4,897.1999999999999,4.97,2243.2896464975,105.0,0.38,0.5,-3.7,6.43,65.31,473.0,0.62,0.5,0.0,106.49,70.28,967.4799999999999,168.19,3705.81,0.55,0.21,0.74,0.05,4.11,0.26,0.2,40.52,0.98,0.4,0.6,212.82,1142.59,0.3,-245.39,0.7,35.90767,0.0,1.0,70.28,319.01,524.67,1.64,C,202602
11290,654.56,7.06,24.4,686.0199999999999,4.11,2672.117713,-103.0,0.34,0.5,13.99,8.85,147.93,550.0,0.66,0.5,15.7,319.18,152.04,838.0599999999998,417.24,4443.69,0.55,0.32,0.74,0.05,4.84,0.26,0.2,71.92,0.71,0.4,0.6,494.0,1096.74,0.3,-410.72,0.7,13.28872,0.0,1.0,152.04,659.33,1203.0,1.82,C,202602
11305,152.02,20.46,7.0,179.48,,2118.0712962175,113.0,0.38,0.5,,,,18.0,0.62,0.5,,,,,0.0,,0.55,0.0,0.74,0.05,0.0,0.26,0.2,0.0,1.72,0.4,0.6,0.0,600.63,0.3,-421.16,0.7,0.0,0.0005723484170989,1.0,,0.0,97.33,,C,202602
11320,296.04,8.73,57.6,362.3700000000001,,2009.076791615,179.0,0.54,0.5,,,,-12.0,0.46,0.5,,,,,0.0,,0.55,0.0,0.74,0.05,0.0,0.26,0.2,0.0,0.65,0.4,0.6,0.0,1061.2,0.3,-698.8299999999999,0.7,0.0,0.0006356016366742,1.0,,0.0,99.67,,C,202602
11350,656.45,20.94,0.0,677.3900000000001,4.7,2411.403275235,-14.0,0.45,0.5,-4.99,20.96,81.39,0.0,0.55,0.5,0.0,244.16,86.09,763.4800000000001,383.09,4069.89,0.55,0.27,0.74,0.05,17.73,0.26,0.2,14.43,0.15,0.4,0.6,415.25,2176.39,0.3,-1499.0,0.7,-107.021,0.0,1.0,86.09,394.32,893.0,2.26,C,202602
11380,919.52,0.66,114.4,1034.58,-6.71,2540.684468245,-323.0,0.42,0.5,-4.42,22.26,177.6,2431.0,0.58,0.5,93.31,44.69,170.89,1205.47,265.63,4557.45,0.55,0.27,0.74,0.05,2.29,0.26,0.2,87.45,1.36,0.4,0.6,355.37,1181.54,0.3,-146.97,0.7,67.92267000000001,0.0001339665485528,1.0,170.89,594.18,1419.33,2.39,C,202602
11410,758.26,22.36,24.8,805.42,,3139.4280323825,120.0,0.29,0.5,,,,-18.0,0.71,0.5,,,,,0.0,,0.55,0.0,0.74,0.05,0.0,0.26,0.2,0.0,0.8,0.4,0.6,0.0,860.96,0.3,-55.54000000000001,0.7,0.0,0.0001921988617556,1.0,,0.0,446.0,,C,202602
